# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
85              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.24615852e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
86              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.24923915e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
87              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.25228439e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
88              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.25529185e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
89              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.25826246e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
90              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.26119675e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
91              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.26409691e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
92              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.26696078e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
93              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.26978926e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
94              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.27258290e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
95              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.27534217e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
96              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.27806910e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
97              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.28076173e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
98              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.28342746e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
99              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.28608058e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
100             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.28870267e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
101             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.29129411e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
102             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.29385529e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
103             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.29638658e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
104             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.29888833e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
105             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.30136090e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
106             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.30380465e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
107             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.30621993e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
108             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.30860707e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
109             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.31096644e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
110             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.31329836e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
111             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.31560320e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
112             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.31788128e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
113             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.32013294e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
114             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.32235852e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
115             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.32455835e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
116             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.32673277e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
117             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.32888209e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
118             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.33104756e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
119             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.33319339e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
120             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.33531570e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
121             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.33741480e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
122             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.33949095e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
123             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.34154444e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
124             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.34357554e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
125             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.34558452e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
